Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,France,1980,?,15,?,DRPT-5 Rasit,ground surv radar,15,?,1981,New,,0.1,1.5,1.5
Australia,France,1987,?,6,,Scylla,submarine sonar,6,,1996; 1998; 1999; 2001; 2003,New,For 6 Collins submarines from Sweden,15,90,90
Australia,France,2022,?,6,,Unidentified sonar,SONAR,0,,,New,,0,0,0
Australia,France,1989,,12,,TSM-2633 Spherion-B,ASW sonar,12,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009,New,For modernization of 4 Perry (Adelaide) and for 8 MEKO-200 (Anzac) frigates from FRG; Spherion-B Mod-5 version,5,60,60
Australia,France,2005,,17,,Vampyr,air search system,17,?,2010; 2011; 2014; 2015; 2016; 2017,New,For modernization of 8 MEKO-200 (Anzac) frigates,2,34,34
Australia,France,2009,?,2,,Vampyr,air search system,2,,2014; 2015,New,For 2 BPE (Canberra) AALS from Spain,2,4,4
Australia,Germany,2015,,9,,ASR-NG,air search radar,9,?,2018; 2019; 2020,New,EUR130 m 'Project Air-5431 Phase-2'; incl for civilian air traffic control,9,81,81
Australia,Israel,2005,,37,,Litening,aircraft EO system,37,?,2006; 2007,New,Litening-AT version; for F/A-18 combat aircraft; ordered via USA; from US production line,1,37,37
Australia,Israel,1995,,18,,EL/M-2022,MP aircraft radar,18,?,2002; 2003; 2004; 2005,New,Part of $372-495 m 'Project Air-5276' for modernization of 18 P-3C ASW aircraft to AP-3C Sea Sentinel by US company,2.5,45,45
Australia,Israel,2007,?,10,?,RecceLite,aircraft recce system,10,?,2009; 2010,New,Probably ordered via USA,4,40,40
Australia,Italy,1986,,10,?,HSS-1,air search radar,10,?,1988; 1989; 1990; 1991; 1992,New,AUD20 m deal,1.19,11.9,11.9
Australia,Netherlands,1963,?,2,,LW-02,air search radar,2,,1969,New,For 2 Leander (River) frigates from UK,7,14,14
Australia,Netherlands,1957,?,4,,LW-02,air search radar,4,,1963; 1964; 1965,New,For 4 Rothesay (River) frigates from UK,7,28,28
