Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Denmark,United States,1975,?,3,,Mk-29 IBPDMS,naval SAM system,3,,1980; 1981; 1982,New,For 3 Niels Juel corvettes produced in Denmark; for use with Sea Sparrow SAM ,5,15,15
Denmark,United States,1963,?,4,,Mk-32 127mm,naval gun,4,?,1966,Second hand but modernized,Second-hand; probably modernized before delivery; for 2 Peder Skram frigates produced in Denmark,1.65,6.6,6.6
Denmark,United States,2006,?,3,,Mk-41 VLS,naval SAM system,3,,2012; 2013; 2014,New,For 3 Huitfeldt frigates produced in Denmark,20,60,60
Denmark,United States,2002,,2,,Mk-45 127mm,naval gun,2,,2004; 2005,Second hand but modernized,Second-hand; $30 m deal; modernized to Mk-45 Mod-4 before delivery; for 2 Absalon (FSS) frigates/support ships produced in Denmark,3.47,6.93,6.93
Ecuador,France,1974,?,3,,Compact 76mm,naval gun,3,,1976; 1977,New,For 3 TNC-45 (Quito) FAC from FRG,2.5,7.5,7.5
Ecuador,Italy,2007,?,3,?,Compact 40L70,naval gun,3,?,2010; 2011,New,For modernization of 3 Quito FAC,2.5,7.5,7.5
Ecuador,Italy,2020,?,1,,Super Rapid 76mm,naval gun,0,,,New,For 1 MPV70 Mk-2 OPV/transport ship from Germany,2.75,2.75,0
Ecuador,Switzerland,1974,?,3,,GDM 35mm,naval gun,3,,1976; 1977,New,For 3 TNC-45 (Quito) FAC from FRG; GDM-A version,2.5,7.5,7.5
Ecuador,United States,2009,?,1,?,Mk-15 Phalanx,naval gun,1,?,2010,New,Possibly Second-hand; for modernization of Alfaro (Leander) frigate,7,7,7
Egypt,France,2021,,4,,VL-MICA-M,naval SAM system,3,,2022; 2023,New,For MEKO-200 frigates; VL-MICA NG version,5,20,15
Egypt,Italy,2019,?,4,,127/64LW 127mm,naval gun,3,,2022; 2023,New,For MEKO-A200 frigates from Germany,7,28,21
Egypt,Italy,1982,,2,,Albatros,naval SAM system,2,,1984,New,For 2 Descubierta (Abu Qir) frigates from Spain,5,10,10
Egypt,Italy,1978,?,6,,Compact 76mm,naval gun,6,,1981; 1982,New,For 6 Ramadan FAC from UK,2.5,15,15
Egypt,Italy,1978,?,6,,Compact 40L70,naval gun,6,,1981; 1982,New,For 6 Ramadan FAC from UK,2.5,15,15
Egypt,Italy,2006,?,3,,Super Rapid 76mm,naval gun,3,,2013; 2015,New,For 3 Ambassador-4 corvettes from USA; bought via USA,2.75,8.25,8.25
Egypt,Italy,2011,,1,,Super Rapid 76mm,naval gun,1,,2015,New,For 1 Ambassador-4 corvette from USA; bought via USA,2.75,2.75,2.75
Egypt,Italy,2014,,4,,Super Rapid 76mm,naval gun,4,?,2017; 2021; 2022; 2023,New,For 4 Gowind frigates from France,2.75,11,11
Egypt,Italy,2015,,1,,Super Rapid 76mm,naval gun,1,,2015,New,For FREMM frigate from France,2.75,2.75,2.75
Egypt,Sweden,1982,,2,,375mm Twin,ASW MRL,2,,1984,New,For 2 Descubierta Class frigates from Spain,3.5,7,7
Egypt,Switzerland,1980,,6,,GCM-AO3 30mm,naval gun,6,?,1980,New,For 6 MV-70 patrol craft from Italy,1,6,6
Egypt,United States,2001,,4,,Mk-15 Phalanx,naval gun,4,?,2004; 2005; 2006,Second hand but modernized,Second-hand; $32 m deal; modernized to Phalanx Block-1B before delivery,4.62,18.48,18.48
Equatorial Guinea,Ukraine,2008,?,1,,AK-176 76mm,naval gun,1,,2009,Second hand,Second-hand; for Salamnandra (Osa) landing ship from China,1,1,1
Equatorial Guinea,Ukraine,2008,?,2,,Katran-M,naval gun,2,,2009,New,For 1 Salamandra (Osa) landing ship from China,0.55,1.1,1.1
Finland,South Africa,2000,?,4,,Umkhonto VLS,naval SAM system,4,,2002; 2003; 2005; 2006,New,For 4 Hamina FAC produced in Finland,5,20,20
Finland,South Africa,2006,?,2,,Umkhonto VLS,naval SAM system,2,,2007,New,For modernization of 2 Hämeenmaa minelayers,5,10,10
Finland,Sweden,1979,?,4,,SAK-70 Mk-1 57mm,naval gun,4,,1981; 1985; 1986,New,For 4 Helsinki FAC produced in Finland,2.25,9,9
Finland,Sweden,1995,,1,,SAK-70 Mk-1 57mm,naval gun,1,,1998,Second hand but modernized,Probably Second-hand; for modernization of Pohmanjaa minelayer,1.49,1.49,1.49
Finland,Sweden,2000,?,4,,SAK-70 Mk-2 57mm,naval gun,4,,2005; 2006,New,For 4 Hamina FAC produced in Finland,2.5,10,10
Finland,Sweden,2019,?,4,,SAK-70 Mk-2 57mm,naval gun,0,,,New,For 4 Pohmanjaa frigates produced in Finland,2.5,10,0
Finland,Sweden,1965,?,2,,TAK-120 L/46 120mm,naval gun,2,?,1968,New,For 2 Turunmaa corvettes produced in Finland,5,10,10
Finland,Sweden,1977,?,1,,TAK-120 L/46 120mm,naval gun,1,,1979,New,For 1 Pohjanmaa minelayer produced in Finland,5,5,5
Finland,United States,2019,?,4,,Mk-41 VLS,naval SAM system,0,,,New,For 4 Pohmanjaa frigates produced in Finland,20,80,0
Finland,United States,2020,,4,,Mk-41 VLS,naval SAM system,0,,,New,For 4 corvettes produced in Finland,20,80,0
France,Canada,2018,?,2,,Compact 76mm,naval gun,2,,2018,Second hand,Second-hand,1,2,2
France,Italy,2000,?,4,,Super Rapid 76mm,naval gun,4,?,2010,New,For 2 Horizon (Forbin) destroyers produced in France,2.75,11,11
France,Italy,2006,,8,,Super Rapid 76mm,naval gun,8,,2012; 2015; 2016; 2017; 2018; 2019; 2021; 2022,New,EUR40 m deal; for 8 Aquitaine (FREMM) frigates produced in France,2.75,22,22
France,Italy,2017,?,5,,Super Rapid 76mm,naval gun,0,,,New,For 5 FTI frigates produced in France,2.75,13.75,0
France,Sweden,1950,?,15,,375mm Sextuble,ASW MRL,15,,1955; 1956; 1957; 1958,New,For 15 Le Corse (E-50 and E-52A) frigates produced in France,5.5,82.5,82.5
France,United States,1962,?,4,,Mk-74 Tartar GMFCS,naval SAM system,4,?,1964; 1965,New,For modernization of 4 Surcouf (Type-47) destroyers,28.75,115,115
Germany,France,1957,?,57,,Modele-1953 100mm,naval gun,57,,1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1968,New,For 4 Hamburg destroyers; 6 Köln frigates; 1 Deutschland training ship and 11 Rhein support ships produced in FRG and modernization of 1 Hunt (Gneisenau) and 1 Black Swan (Scharnhorst) training ships,4.7,267.9,267.9
Germany,Italy,2007,,5,,127/64LW 127mm,naval gun,5,?,2012; 2019; 2020; 2021; 2022,New,EUR70 m deal; for 4 F-125 frigates produced in Germany and 1 for training,7,35,35
Germany,Italy,2022,?,4,,127/64LW 127mm,naval gun,0,,,New,For 4 F-126 frigates produced in Germany; option on 2 more,7,28,0
Germany,Italy,1976,?,6,,Compact 76mm,naval gun,6,,1982; 1983; 1984,New,For 6 Bremen (Type-122) frigates produced in FRG,2.5,15,15
Germany,Italy,1978,?,10,,Compact 76mm,naval gun,10,,1982; 1983; 1984,New,For 10 Gepard (Type-143A) FAC produced in FRG,2.5,25,25
Germany,Italy,1986,,2,,Compact 76mm,naval gun,2,,1989; 1990,New,For 2 Bremen (Type-122) frigates produced in FRG,2.5,5,5
Germany,Italy,1989,?,4,,Compact 76mm,naval gun,4,,1994; 1995; 1996,New,For 4 Brandenburg (Type-123) frigates produced in FRG,2.5,10,10
Germany,Italy,1972,,20,,Compact 76mm,naval gun,20,,1973; 1974; 1975; 1976,New,For 10 Albatros (Type-143) FAC produced in FRG,2.5,50,50
Germany,Italy,1970,,20,,Compact 76mm,naval gun,20,,1972; 1973; 1974; 1975,New,For 20 Tiger (Type-148 or Combattante-2) FAC produced in FRG,2.5,50,50
Germany,Italy,1996,?,3,,Super Rapid 76mm,naval gun,3,,2004; 2005,New,For 3 Sachsen (Type-124) frigates produced in FRG,2.75,8.25,8.25
Germany,Italy,2001,?,5,,Super Rapid 76mm,naval gun,5,,2008; 2013,New,For 5 Braunschweig (K-130) frigates produced in FRG,2.75,13.75,13.75
Germany,Italy,2018,,7,,Super Rapid 76mm,naval gun,0,,,New,For 5 Braunschweig (K-130) frigates produced in FRG,2.75,19.25,0
Germany,Italy,1959,?,5,,Type-106 40mm,naval gun,5,,1961; 1962; 1963,New,For 5 Thetis corvettes produced in Germany,1.75,8.75,8.75
Germany,Italy,1958,?,16,,Type-64 40mm,naval gun,16,,1964; 1965; 1968,New,For 4 Hamburg destroyers produced in FRG,2,32,32
Germany,Italy,1965,?,22,,Type-64 40mm,naval gun,22,?,1966; 1967; 1968,New,For 8 Lueneburg and 2 Westerwald support ships and 2 Helgoland tugs produced in FRG,2,44,44
Germany,Netherlands,1991,,3,,Goalkeeper,naval gun,3,,1991,New,For 3 Bremen Class (Type-122) frigates produced in FRG,10,30,30
Germany,Sweden,1957,?,25,,375mm Quad,ASW MRL,25,?,1959; 1960; 1961; 1962; 1963; 1964; 1965; 1968,New,For 4 Hamburg destroyers; 6 Kln frigates; 5 Thetis and 1 Burkner corvettes and 1 Deutschland training ship produced in FRG and modernization of 2 Hunt (Gneisenau) destroyers to training ships,5,125,125
Germany,Sweden,1959,?,5,,375mm Quad,ASW MRL,5,,1961; 1962; 1963,New,For 5 Thetis corvettes produced in Germany,5,25,25
Germany,United States,1976,?,6,,Mk-29 IBPDMS,naval SAM system,6,,1982; 1983; 1984,New,For 6 Bremen (Type-122) frigates produced in FRG,5,30,30
Germany,United States,1986,,2,,Mk-29 IBPDMS,naval SAM system,2,,1989; 1990,New,For 2 Bremen (Type-122) frigates produced in FRG,5,10,10
Germany,United States,1996,,3,,Mk-41 VLS,naval SAM system,3,,2004; 2005,New,For 3 Sachsen (Type-124) frigates produced in FRG,20,60,60
Germany,United States,1989,,4,,Mk-41 VLS,naval SAM system,4,,1994; 1995; 1996,New,Mk-41 Mod-3 version for 4 Brandenburg (Type-123) frigates produced in Germany,20,80,80
Gabon,Sweden,1985,,1,,SAK-70 Mk-2 57mm,naval gun,1,,1988,New,For 1 P-400 patrol craft from France,2.5,2.5,2.5
East Germany (GDR),Soviet Union,1973,?,24,?,A-215 Grad-M 122mm,naval MRL,24,?,1976; 1977; 1978; 1979,New,For 12 Frosch landing ships produced in GDR,0.5,12,12
East Germany (GDR),Soviet Union,1977,?,16,,AK-230 30mm,naval gun,16,,1981; 1982; 1983; 1984; 1985,New,For 16 Parchim corvettes produced in GDR,1,16,16
East Germany (GDR),Soviet Union,1977,?,16,,ZiF-31B 57mm,naval gun,16,,1981; 1982; 1983; 1984; 1985,New,For 16 Parchim corvettes produced in GDR,2.5,40,40
Ghana,Italy,1977,?,2,,Compact 76mm,naval gun,2,,1981,New,For 2 PB-57 (Achimota) patrol craft from FRG,2.5,5,5
Greece,Italy,1980,,4,,Compact 76mm,naval gun,4,,1981; 1982,New,For 2 Kortenear frigates from Netherlands,2.5,10,10
Greece,Italy,1974,,20,,Compact 76mm,naval gun,20,,1977; 1978; 1980; 1981,New,For 10 Combattante-3 (Laskos) FAC from France,2.5,50,50
Greece,Italy,1978,?,6,,Compact 76mm,naval gun,6,?,1979; 1980; 1981; 1982; 1983,New,For modernization of 6 Gearing destroyers,2.5,15,15
Greece,Italy,1990,?,2,,Compact 76mm,naval gun,2,,1993; 1994,New,For 2 Hellenic-56 (Pyrpolitis) OPV prodyced in Greece,2.5,5,5
Greece,Italy,2000,,3,,Super Rapid 76mm,naval gun,3,,2005; 2006,New,For 2 Super Vita (Roussen) FAC from UK,2.75,8.25,8.25
Greece,Italy,2008,?,2,,Super Rapid 76mm,naval gun,2,,2020; 2022,New,For 2 Super Vita (Roussen) FAC from UK,2.75,5.5,5.5
Greece,Italy,2003,,2,,Super Rapid 76mm,naval gun,2,,2010; 2015,New,For 2 Super Vita (Roussen) FAC from UK,2.75,5.5,5.5
Greece,Italy,2022,?,3,,Super Rapid 76mm,naval gun,0,,,New,For 3 FDI frigates from France,2.75,8.25,0
Greece,United States,1979,?,2,,EE-30 30mm,naval gun,2,?,1980,New,For modernization of 1 Gearing (Themistocles) destroyer,1,2,2
Greece,United States,1974,?,20,,EE-30 30mm,naval gun,20,,1977; 1978; 1980; 1981,New,For 10 Combattante-3 (Laskos) FAC from France,1,20,20
Greece,United States,1980,,1,,Mk-29 IBPDMS,naval SAM system,1,,1981,New,For 1 Kortenaer frigate from Netherlands,5,5,5
Greece,United States,1981,,1,,Mk-29 IBPDMS,naval SAM system,1,,1982,New,For 1 Kortenaer frigate from Netherlands,5,5,5
Greece,United States,1989,?,4,,Mk-45 127mm,naval gun,4,?,1992; 1996; 1998,New,For 4 MEKO-200HN (Hydra) frigates from FRG,5.25,21,21
Greece,United States,1988,,4,,Mk-48 GMVLS,naval SAM system,4,,1992; 1996; 1998,New,Mk-48 Mod-2 version for 4 MEKO-200 (Hydra) frigates from FRG,5,20,20
Greece,United States,1986,,4,,Mk-15 Phalanx,naval gun,4,?,1987; 1988,New,For modernization of 2 Kortenaer (Elli) frigates,7,28,28
Greece,United States,1988,,8,,Mk-15 Phalanx,naval gun,8,?,1992; 1996; 1998,New,For 4 MEKO-200HN (Hydra) frigates from FRG,7,56,56
Greece,United States,1993,?,3,,Mk-15 Phalanx,naval gun,3,?,1993; 1994; 1995,New,For modernization of 3 Kortenaer (Elli) frigates,7,21,21
Greece,United States,1997,?,1,,Mk-15 Phalanx,naval gun,1,?,1997,New,For modernization of 1 Kortenaer (Elli) frigate,7,7,7
