Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Kuwait,United Kingdom,2017,?,8,,Thales ROTSS,APC turret,8,?,2017,New,For modernization of 8 Condor APC,0.1,0.8,0.8
Kuwait,United States,1993,,236,,LAV-25 turret,IFV turret,236,?,1995; 1996; 1997,New,For 236 MCV-80 IFV from UK,0.6,141.6,141.6
Kuwait,United States,1996,,15,?,LAV-25 turret,IFV turret,15,?,1998; 1999,New,For Pandur IFV from Austria,0.6,9,9
Kuwait,United States,2010,?,40,?,LAV-25 turret,IFV turret,40,?,2013; 2014,New,For Pandur IFV from Austria,0.6,24,24
Lithuania,Israel,2016,,86,,Samson RCWS-30,IFV turret,86,?,2019; 2020; 2021; 2023,New,Samson Mk-2 version for 86 Boxer IFV from FRG,0.6,51.6,51.6
Luxembourg,Norway,2008,,48,?,Protector,APC turret,48,?,2009; 2010,New,For 48 Dingo-2 APC from FRG,0.05,2.4,2.4
North Macedonia,Norway,2021,?,45,?,Protector,APC turret,0,,,New,For Piranha-3 (Stryker) APC from Canada; probably from US production line,0.05,2.25,0
Malaysia,South Africa,2012,,78,?,LCT-30,IFV turret,78,?,2017; 2018; 2019; 2020; 2021,New,Part of EUR340 m deal; incl 54 with ZT-3 anti-tank missiles; for 78 Pars (AV-8) IFV from Turkey,0.6,46.8,46.8
Malaysia,South Africa,2012,,54,,Rogue,APC turret,54,?,2016; 2017; 2018; 2019; 2020; 2021,New,For 54 Pars (AV-8) APC from Turkey,0.05,2.7,2.7
Malaysia,United Kingdom,2000,?,2,,air refuel system,air refuel system,2,?,2002,New,MYR102 m deal; for modification of 2 C-130H transport aircraft to KC-130H tanker/transport version,10,20,20
Malaysia,United Kingdom,1995,?,2,,air refuel system,air refuel system,2,?,1997,New,$23 m deal; for modification of 2 C-130H transport aircraft to KC-130H tanker/transport version,10,20,20
Malaysia,United Kingdom,2005,?,4,?,air refuel system,air refuel system,4,,2015; 2016; 2017,New,For 4 A400M transport aircraft from Spain,10,40,40
Malaysia,United States,2000,,31,,Sharpshooter,IFV turret,31,?,2002; 2003,New,For 31 AIFV (ACV-300) IFV from Turkey,0.6,18.6,18.6
Morocco,France,1978,?,109,,FL-12 105mm,tank turret,109,?,1979; 1980,New,For 109 SK-105 tanks from Austria,0.5,54.5,54.5
Myanmar,China,2019,?,,?,Assaulter 105mm,tank turret,3,?,2022,New,For MMT-40 light tank produced in Myanmar,0.8,0,2.4
NATO**,United Kingdom,2016,,9,,air refuel system,air refuel system,7,?,2020; 2021; 2022,New,For 9 A-330 MRTT tanker/transport aircraft from France,10,90,70
Netherlands,Norway,2009,,14,,Protector,APC turret,14,,2009,New,For 14 Bushmaster APC from Australia,0.05,0.7,0.7
Netherlands,Norway,2006,?,140,?,Protector,APC turret,140,?,2015; 2016; 2017; 2018,New,For 140 Boxer APC produced in Netherlands,0.05,7,7
Netherlands,Sweden,2021,,122,,CV-90 Turret,IFV turret,0,,,New,For modernization of CV-90 IFV; option on 19 more; incl production of components in Netherlands; delivery planned 2024-2026,0,0,0
Netherlands,United Kingdom,2006,,12,,SWARM,APC turret,12,,2006,New,For 12 Bushmaster APC from Australia,0.05,0.6,0.6
Netherlands,United States,1994,,2,,air refuel system,air refuel system,2,,1994; 1995,New,For $96 m modification of 2 DC-10 transport aircraft to KDC-10 tanker/transport aircraft,10,20,20
Netherlands,United States,2007,,17,,Raven R-400 SRWS,APC turret,17,?,2007,New,$2.2 m deal; for 17 Bushmaster APC from Australia,0.05,0.85,0.85
Norway,Sweden,1980,?,53,?,Hagglunds 20mm,IFV turret,53,?,1981; 1982,New,For modernization of 53 M-113A1 APC to NM-135 IFV,0.1,5.3,5.3
New Zealand,United States,2001,,102,,LAV-25 turret,IFV turret,102,?,2003; 2004,New,For 102 Piranha-3 (LAV-3/NZLAV) IFV version from Canada,0.6,61.2,61.2
Panama,Belgium,1983,,3,?,CM-90 90mm,tank turret,3,?,1983,New,For 3 V-300 Mk-2 IFV/AFSV from USA,0.6,1.8,1.8
Peru,United Kingdom,1987,?,1,,air refuel system,air refuel system,1,,1987,New,For modification (in Israel) of 1 Boeing-707 transport aircraft from USA to tanker/transport aircraft,10,10,10
Philippines,Belgium,1993,,12,,CM-90 90mm,tank turret,12,?,1996; 1997; 1998,New,For 12 V-300 IFV/ASFV from USA,0.6,7.2,7.2
Philippines,Israel,2018,,44,,ORCWS,APC turret,44,?,2022,New,For modernization of 44 M-113A2 APC,0.05,2.2,2.2
Philippines,Israel,2014,,4,,UT-25/UT-30,IFV turret,4,?,2015,New,UT-25 version for 4 second-hand M-113A2 APC (from Belgium) modified to IFV,0.6,2.4,2.4
Philippines,Israel,2020,?,1,,UT-25/UT-30,IFV turret,1,,2023,New,UT-30 version; for 1 ASCOD IFV from Spain (ordered via Israel as part of order for Sabrah tanks),0.6,0.6,0.6
Philippines,Turkiye,2020,,,,Saber,IFV/APC turret,0,,,New,For modification of AIFV and/or M-113 APC to IFV,0,0,0
Poland,Italy,2003,,359,,HITFIST,IFV turret,359,?,2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,New,$308 m deal (offsets $525 m incl production of 241 in Poland); HITFIST-30P version; for 359 AMV (Rosomak) IFV from Finland,0.7,251.3,251.3
Portugal,Norway,2005,?,7,?,Protector,APC turret,7,?,2009,New,For 7 Pandur APC from Austria,0.05,0.35,0.35
Qatar,Belgium,1996,,36,,LCTS-90 90mm,tank turret,36,?,1998; 1999,New,For 36 Piranha AFSV from UK,0.7,25.2,25.2
Romania,Israel,1997,?,99,?,OWS-25,IFV turret,99,?,2005; 2006; 2007; 2008; 2009,New,For modernization of 99 MLI-84 IFV to MLI-84M,0.6,59.4,59.4
Romania,Israel,2018,,127,?,UT-25/UT-30,IFV turret,82,?,2020; 2021; 2022; 2023,New,UT-30MK2 version; for Piranha-5 IFV from Switzerland; produced under licence in Romania,0.6,76.2,49.2
Rwanda,Ukraine,2012,?,5,?,BAU-23x2,IFV turret,5,?,2013,New,For modernization of Ratel IFV (or possibly for Ratel-23 IFV from unknown supplier),0.4,2,2
Saudi Arabia,Belgium,2014,,119,,Cockerill-3105 105mm,tank turret,65,?,2019; 2020; 2021; 2022; 2023,New,Part of EUR3.2 b deal; for 119 LAV-700 FSV AFSV from Canada,0.8,95.2,52
Saudi Arabia,Belgium,2006,?,10,?,LCTS-90 90mm,tank turret,10,?,2006,New,For Piranha (LAV-AG) AFSV from Canada,0.7,7,7
Saudi Arabia,Belgium,2000,,130,,LCTS-90 90mm,tank turret,130,?,2000; 2001; 2002; 2003; 2004,New,For 130 Piranha LAV-90 (LAV-AG) AFSV from Canada,0.7,91,91
Saudi Arabia,Belgium,2009,?,84,,LCTS-90 90mm,tank turret,84,?,2011; 2012; 2013; 2014,New,For 84 Piranha (LAV-90 or LAV-AG) AFSV from Canada,0.7,58.8,58.8
Saudi Arabia,Belgium,2014,,119,?,MCT,IFV turret,119,?,2019; 2020; 2021; 2022,New,Part of EUR3.2 b deal; for 119 LAV-700 IFV from Canada,0.7,83.3,83.3
Saudi Arabia,France,1990,?,140,,TS-90 90mm,tank turret,140,?,1992; 1993,New,For 140 Piranha LAV-90 (LAV-AG) AFSV from Canada,0.7,98,98
Saudi Arabia,United Kingdom,2008,,3,,air refuel system,air refuel system,3,?,2011; 2012,New,For 3 A-330 MRTT tanker/transport aircraft from France,10,30,30
Saudi Arabia,United Kingdom,2009,,3,,air refuel system,air refuel system,3,?,2014; 2015,New,For 3 A-330 MRTT tanker/transport aircraft from France,10,30,30
Saudi Arabia,United States,1990,,111,,ALT,anti-tank AV turret,111,?,1994; 1995; 1996; 1997; 1998; 1999,New,For 111 Piranha (LAV-AT) anti-tank version from Canada,0.6,66.6,66.6
Saudi Arabia,United States,2009,?,72,,ETS,anti-tank AV turret,72,?,2011; 2012; 2013,New,ETS Mk-2 version; for 72 Piranha (LAV-AT) tank destroyers from Canada,0.6,43.2,43.2
Saudi Arabia,United States,1990,,384,,LAV-25 turret,IFV turret,384,?,1994; 1995; 1996; 1997; 1998; 1999,New,For 384 Piranha (LAV-25) IFV from Canada,0.6,230.4,230.4
Saudi Arabia,United States,2006,,100,?,LAV-25 turret,IFV turret,100,?,2006; 2007; 2008; 2009,New,For Piranha (LAV-25) IFV from Canada,0.6,60,60
Saudi Arabia,United States,2009,?,264,,LAV-25 turret,IFV turret,264,?,2011; 2012; 2013; 2014; 2015,New,For 264 Piranha (LAV-25) IFV from Canada,0.6,158.4,158.4
Saudi Arabia,United States,1982,,224,,TUA,anti-tank AV turret,224,?,1983; 1984,New,For 224 VCC-1 TOW tank destroyers from Italy,0.6,134.4,134.4
Singapore,Australia,2009,,100,,R-600,IFV turret,100,?,2010; 2011,New,AUD28 m ($22 m) deal; for Terrex APC/IFV produced in Singapore,0.6,60,60
Singapore,Australia,2012,,35,?,R-600,IFV turret,35,?,2012; 2013,New,AUD25 m ($27 m) deal; for Terrex APC/IFV produced in Singapore,0.6,21,21
Singapore,Israel,2005,?,50,?,OWS-25,IFV turret,50,?,2006; 2007,New,For modernization of M-113 APC,0.6,30,30
Singapore,Israel,2017,?,,,Samson RCWS-30,IFV turret,130,?,2019; 2020; 2021; 2022; 2023,New,Samson Mk-2 version; for Hunter IFV produced in Singapore,0.6,0,78
Singapore,United Kingdom,2014,,6,,air refuel system,air refuel system,6,,2018; 2019; 2020,New,For 6 A-330 MRTT tanker/transport aircraft from France,10,60,60
Slovenia,Norway,2009,,20,?,Protector,APC turret,20,?,2010; 2011,New,For 20 AMV APC from Finland,0.05,1,1
Slovenia,Norway,2019,?,38,?,Protector,APC turret,38,?,2021,New,M-153 version; for 38 L-ATV APV from USA,0.05,1.9,1.9
Spain,Austria,2003,,100,?,SP30,IFV turret,100,?,2009; 2010; 2011; 2012; 2013,New,For some 100 ASCOD (Pizarro) IFV produced in Spain,0.6,60,60
Spain,Germany,2009,?,4,,Lance MTS,IFV turret,4,,2014,New,For Piranha-3C IFV from Switzerland,0.7,2.8,2.8
Spain,United Kingdom,2021,,3,,air refuel system,air refuel system,1,?,2023,New,For modification of 3 Spanish A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,30,10
Sudan,Slovakia,2007,?,10,?,Cobra 30mm,IFV turret,10,?,2007,New,For BTR-70 APC from Belarus and for modernization of Boraq or WZ-551 IFV,0.55,5.5,5.5
Sweden,Norway,2009,?,97,?,Protector,APC turret,97,?,2010,New,For 97 RG-32 APC from  South Africa,0.05,4.85,4.85
Sweden,Norway,2010,?,24,?,Protector,APC turret,24,?,2015; 2016; 2017,New,For 24 Archer self-propelled guns produced in Sweden,0.05,1.2,1.2
Sweden,Norway,2012,?,30,?,Protector,APC turret,30,?,2013,New,For 30 BvS-10 APC produced in Sweden,0.05,1.5,1.5
Sweden,Norway,2013,?,75,?,Protector,APC turret,75,?,2014; 2015,New,For 75 BvS-10 APC produced in Sweden,0.05,3.75,3.75
Switzerland,Germany,1995,?,515,?,Type-606,APC turret,515,?,1997; 1998; 1999; 2000; 2001; 2002,New,Type-601A1 for 515 Piranha APC produced in Switzerland,0.04,20.6,20.6
Switzerland,Norway,1987,?,310,,ALT,anti-tank AV turret,310,?,1989; 1990; 1991; 1992,New,For 310 PzJg-90 (Piranha) tank destroyers produced in Switzerland,0.6,186,186
Switzerland,Norway,2009,,232,,Protector,APC turret,232,?,2010; 2011; 2012,New,For 220 DURO-3P (GMTF or RP-13) and 12 Piranha-3C APC produced in Switzerland,0.05,11.6,11.6
Switzerland,Norway,2006,,160,,Protector,APC turret,160,?,2008; 2009; 2010,New,For modification of 160 Piranha-TOW to CP version,0.05,8,8
